location,location_name,epiweek,value,target_end_date,inc,target_type
GM,Germany,1,5918,2021-01-09,incident,deaths
GM,Germany,7,0,2020-02-15,incident,deaths
GM,Germany,8,0,2020-02-22,incident,deaths
GM,Germany,9,0,2020-02-29,incident,deaths
GM,Germany,10,0,2020-03-07,incident,deaths
GM,Germany,11,8,2020-03-14,incident,deaths
GM,Germany,12,39,2020-03-21,incident,deaths
GM,Germany,13,278,2020-03-28,incident,deaths
GM,Germany,14,833,2020-04-04,incident,deaths
GM,Germany,15,1386,2020-04-11,incident,deaths
GM,Germany,16,1566,2020-04-18,incident,deaths
GM,Germany,17,1390,2020-04-25,incident,deaths
GM,Germany,18,1075,2020-05-02,incident,deaths
GM,Germany,19,794,2020-05-09,incident,deaths
GM,Germany,20,512,2020-05-16,incident,deaths
GM,Germany,21,335,2020-05-23,incident,deaths
GM,Germany,22,273,2020-05-30,incident,deaths
GM,Germany,23,157,2020-06-06,incident,deaths
GM,Germany,24,135,2020-06-13,incident,deaths
GM,Germany,25,102,2020-06-20,incident,deaths
GM,Germany,26,71,2020-06-27,incident,deaths
GM,Germany,27,56,2020-07-04,incident,deaths
GM,Germany,28,50,2020-07-11,incident,deaths
GM,Germany,29,23,2020-07-18,incident,deaths
GM,Germany,30,35,2020-07-25,incident,deaths
GM,Germany,31,30,2020-08-01,incident,deaths
GM,Germany,32,47,2020-08-08,incident,deaths
GM,Germany,33,36,2020-08-15,incident,deaths
GM,Germany,34,36,2020-08-22,incident,deaths
GM,Germany,35,22,2020-08-29,incident,deaths
GM,Germany,36,35,2020-09-05,incident,deaths
GM,Germany,37,23,2020-09-12,incident,deaths
GM,Germany,38,37,2020-09-19,incident,deaths
GM,Germany,39,68,2020-09-26,incident,deaths
GM,Germany,40,75,2020-10-03,incident,deaths
GM,Germany,41,77,2020-10-10,incident,deaths
GM,Germany,42,163,2020-10-17,incident,deaths
GM,Germany,43,236,2020-10-24,incident,deaths
GM,Germany,44,449,2020-10-31,incident,deaths
GM,Germany,45,774,2020-11-07,incident,deaths
GM,Germany,46,1152,2020-11-14,incident,deaths
GM,Germany,47,1506,2020-11-21,incident,deaths
GM,Germany,48,2081,2020-11-28,incident,deaths
GM,Germany,49,2552,2020-12-05,incident,deaths
GM,Germany,50,2949,2020-12-12,incident,deaths
GM,Germany,51,4174,2020-12-19,incident,deaths
GM,Germany,52,3782,2020-12-26,incident,deaths
GM,Germany,53,4538,2021-01-02,incident,deaths
PL,Poland,1,1617,2021-01-09,incident,deaths
PL,Poland,10,0,2020-03-07,incident,deaths
PL,Poland,11,2,2020-03-14,incident,deaths
PL,Poland,12,3,2020-03-21,incident,deaths
PL,Poland,13,11,2020-03-28,incident,deaths
PL,Poland,14,55,2020-04-04,incident,deaths
PL,Poland,15,110,2020-04-11,incident,deaths
PL,Poland,16,151,2020-04-18,incident,deaths
PL,Poland,17,161,2020-04-25,incident,deaths
PL,Poland,18,157,2020-05-02,incident,deaths
PL,Poland,19,125,2020-05-09,incident,deaths
PL,Poland,20,132,2020-05-16,incident,deaths
PL,Poland,21,75,2020-05-23,incident,deaths
PL,Poland,22,69,2020-05-30,incident,deaths
PL,Poland,23,86,2020-06-06,incident,deaths
PL,Poland,24,85,2020-06-13,incident,deaths
PL,Poland,25,112,2020-06-20,incident,deaths
PL,Poland,26,95,2020-06-27,incident,deaths
PL,Poland,27,78,2020-07-04,incident,deaths
PL,Poland,28,55,2020-07-11,incident,deaths
PL,Poland,29,49,2020-07-18,incident,deaths
PL,Poland,30,44,2020-07-25,incident,deaths
PL,Poland,31,61,2020-08-01,incident,deaths
PL,Poland,32,71,2020-08-08,incident,deaths
PL,Poland,33,71,2020-08-15,incident,deaths
PL,Poland,34,80,2020-08-22,incident,deaths
PL,Poland,35,80,2020-08-29,incident,deaths
PL,Poland,36,82,2020-09-05,incident,deaths
PL,Poland,37,68,2020-09-12,incident,deaths
PL,Poland,38,101,2020-09-19,incident,deaths
PL,Poland,39,122,2020-09-26,incident,deaths
PL,Poland,40,178,2020-10-03,incident,deaths
PL,Poland,41,350,2020-10-10,incident,deaths
PL,Poland,42,521,2020-10-17,incident,deaths
PL,Poland,43,732,2020-10-24,incident,deaths
PL,Poland,44,1179,2020-10-31,incident,deaths
PL,Poland,45,1935,2020-11-07,incident,deaths
PL,Poland,46,2211,2020-11-14,incident,deaths
PL,Poland,47,3217,2020-11-21,incident,deaths
PL,Poland,48,3433,2020-11-28,incident,deaths
PL,Poland,49,3212,2020-12-05,incident,deaths
PL,Poland,50,2815,2020-12-12,incident,deaths
PL,Poland,51,2597,2020-12-19,incident,deaths
PL,Poland,52,2221,2020-12-26,incident,deaths
PL,Poland,53,1959,2021-01-02,incident,deaths
GM,Germany,1,136230,2021-01-09,incident,cases
